H5_SESSION,960,100,480,25
H5_SESSION,4K,24,480,24
H5_SESSION,960,60,480,30
H5_SESSION,1080,30,480,30
H5_SESSION,960,25,480,25
H5_SESSION,960,50,480,25
H5_SESSION,1080,60,480,30
H5_SESSION,4K,30,480,30
H5_SESSION,1440,24,480,24
H5_SESSION,720,25,480,25
H5_SESSION,1080,48,480,24
H5_SESSION,720,50,480,25
H5_SESSION,960,30,480,30
H5_SESSION,1080,25,480,25
H5_SESSION,4K,25,480,25
H5_SESSION,1440,50,480,25
H5_SESSION,27K4x3,25,480,25
H5_SESSION,720,120,480,30
H5_SESSION,27K,24,480,24
H5_SESSION,1440,48,480,24
H5_SESSION,720,60,480,30
H5_SESSION,1440,60,480,30
H5_SESSION,27K,25,480,25
H5_SESSION,1440,30,480,30
H5_SESSION,27K,48,480,24
H5_SESSION,1080,50,480,25
H5_SESSION,1440,25,480,25
H6_BLACK,1080,25,480,25
H6_BLACK,4K,25,480,25
H6_BLACK,27K4x3,25,480,25
H6_BLACK,1440,50,240,50
H6_BLACK,27K4x3,30,480,30
H6_BLACK,720,60,480,60
H6_BLACK,27K,24,480,24
H6_BLACK,1440,60,240,60
H6_BLACK,27K,25,480,25
H6_BLACK,1440,30,480,30
H6_BLACK,27K,50,240,25
H6_BLACK,27K,30,480,30
H6_BLACK,1440,24,480,24
H6_BLACK,1080,100,240,13
H6_BLACK,1080,50,480,50
H6_BLACK,1080,24,480,24
H6_BLACK,1440,25,480,25
H6_BLACK,4K,24,480,24
H6_BLACK,27K4x3,24,480,24
H6_BLACK,1080,30,480,30
H6_BLACK,1080,60,480,60
H6_BLACK,1080,120,240,12
H6_BLACK,4K,30,480,30
H6_BLACK,720,50,480,50
